Attrition,Business Travel,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,Daily Rate,Distance From Home,Education,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
1,Travel_Rarely,Sales,Life Sciences,1,Female,Sales Executive,Single,1,0,41,1102,1,Associates Degree,1,2,94,3,2,4,5993,19479,8,11,3,1,80,0,8,1,6,4,0,5
0,Travel_Frequently,R&D,Life Sciences,2,Male,Research Scientist,Married,0,3,49,279,8,High School,1,3,61,2,2,2,5130,24907,1,23,4,4,80,1,10,3,10,7,1,7
1,Travel_Rarely,R&D,Other,4,Male,Laboratory Technician,Single,1,3,37,1373,2,Associates Degree,1,4,92,2,1,3,2090,2396,6,15,3,2,80,0,7,3,0,0,0,0
0,Travel_Frequently,R&D,Life Sciences,5,Female,Research Scientist,Married,1,3,33,1392,3,Master's Degree,1,4,56,3,1,3,2909,23159,1,11,3,3,80,0,8,3,8,7,3,0
0,Travel_Rarely,R&D,Medical,7,Male,Laboratory Technician,Married,0,3,27,591,2,High School,1,1,40,3,1,2,3468,16632,9,12,3,4,80,1,6,3,2,2,2,2
0,Travel_Frequently,R&D,Life Sciences,8,Male,Laboratory Technician,Single,0,2,32,1005,2,Associates Degree,1,4,79,3,1,2,3068,11864,0,13,3,3,80,0,8,2,7,7,3,6
0,Travel_Rarely,R&D,Medical,10,Female,Laboratory Technician,Married,1,3,59,1324,3,Bachelor's Degree,1,3,81,4,1,4,2670,9964,4,20,4,1,80,3,12,2,1,0,0,0
0,Travel_Rarely,R&D,Life Sciences,11,Male,Laboratory Technician,Divorced,0,2,30,1358,24,High School,1,4,67,3,1,2,2693,13335,1,22,4,2,80,1,1,3,1,0,0,0
0,Travel_Frequently,R&D,Life Sciences,12,Male,Manufacturing Director,Single,0,2,38,216,23,Bachelor's Degree,1,4,44,2,3,2,9526,8787,0,21,4,2,80,0,10,3,9,7,1,8
0,Travel_Rarely,R&D,Medical,13,Male,Healthcare Representative,Married,0,3,36,1299,27,Bachelor's Degree,1,3,94,3,2,3,5237,16577,6,13,3,2,80,2,17,2,7,7,7,7
0,Travel_Rarely,R&D,Medical,14,Male,Laboratory Technician,Married,0,5,35,809,16,Bachelor's Degree,1,1,84,4,1,2,2426,16479,0,13,3,3,80,1,6,3,5,4,0,3
0,Travel_Rarely,R&D,Life Sciences,15,Female,Laboratory Technician,Single,1,3,29,153,15,Associates Degree,1,4,49,2,2,2,4193,12682,0,12,3,4,80,0,10,3,9,5,0,8
0,Travel_Rarely,R&D,Life Sciences,16,Male,Research Scientist,Divorced,0,1,31,670,26,High School,1,1,31,3,1,2,2911,15170,1,17,3,4,80,1,5,2,5,2,4,3
0,Travel_Rarely,R&D,Medical,18,Male,Laboratory Technician,Divorced,0,2,34,1346,19,Associates Degree,1,2,93,3,1,4,2661,8758,0,11,3,3,80,1,3,3,2,2,1,2
1,Travel_Rarely,R&D,Life Sciences,19,Male,Laboratory Technician,Single,1,4,28,103,24,Bachelor's Degree,1,3,50,2,1,2,2028,12947,5,14,3,2,80,0,6,3,4,2,0,3
0,Travel_Rarely,R&D,Life Sciences,20,Female,Manufacturing Director,Divorced,0,1,29,1389,21,Master's Degree,1,2,51,4,3,2,9980,10195,1,11,3,3,80,1,10,3,10,9,8,8
0,Travel_Rarely,R&D,Life Sciences,21,Male,Research Scientist,Divorced,1,5,32,334,5,Associates Degree,1,1,80,4,1,2,3298,15053,0,12,3,4,80,2,7,2,6,2,0,5
0,0n-Travel,R&D,Medical,22,Male,Laboratory Technician,Divorced,1,2,22,1123,16,Associates Degree,1,4,96,4,1,4,2935,7324,1,13,3,2,80,2,1,2,1,0,0,0
0,Travel_Rarely,Sales,Life Sciences,23,Female,Manager,Married,0,3,53,1219,2,Master's Degree,1,1,78,2,4,2,15427,22021,2,16,3,3,80,0,31,3,25,8,3,7
0,Travel_Rarely,R&D,Life Sciences,24,Male,Research Scientist,Single,1,3,38,371,2,Bachelor's Degree,1,4,45,3,1,2,3944,4306,5,11,3,3,80,0,6,3,3,2,1,2
0,0n-Travel,R&D,Other,26,Female,Manufacturing Director,Divorced,0,5,24,673,11,Associates Degree,1,1,96,4,2,3,4011,8232,0,18,3,4,80,1,5,2,4,2,1,3
1,Travel_Rarely,Sales,Life Sciences,27,Male,Sales Representative,Single,0,4,36,1218,9,Master's Degree,1,3,82,2,1,2,3407,6986,7,23,4,2,80,0,10,3,5,3,0,3
0,Travel_Rarely,R&D,Life Sciences,28,Female,Research Director,Single,0,4,34,419,7,Master's Degree,1,1,53,3,3,2,11994,21293,0,11,3,3,80,0,13,3,12,6,2,11
0,Travel_Rarely,R&D,Life Sciences,30,Male,Research Scientist,Single,0,6,21,391,15,Associates Degree,1,3,96,3,1,2,1232,19281,1,14,3,4,80,0,0,3,0,0,0,0
1,Travel_Rarely,R&D,Medical,31,Male,Research Scientist,Single,0,2,34,699,6,High School,1,2,83,3,1,4,2960,17102,2,11,3,3,80,0,8,3,4,2,1,3
0,Travel_Rarely,R&D,Other,32,Female,Manager,Divorced,0,3,53,1282,5,Bachelor's Degree,1,3,58,3,5,3,19094,10735,4,11,3,4,80,1,26,2,14,13,4,8
1,Travel_Frequently,R&D,Life Sciences,33,Female,Research Scientist,Single,1,5,32,1125,16,High School,1,2,72,1,1,2,3919,4681,1,22,4,2,80,0,10,3,10,2,6,7
0,Travel_Rarely,Sales,Marketing,35,Male,Sales Executive,Married,0,2,42,691,8,Master's Degree,1,3,48,3,2,3,6825,21173,0,11,3,4,80,1,10,3,9,7,4,2
0,Travel_Rarely,R&D,Medical,36,Female,Healthcare Representative,Married,0,4,44,477,7,Master's Degree,1,1,42,2,3,4,10248,2094,3,14,3,4,80,1,24,3,22,6,5,17
0,Travel_Rarely,Sales,Marketing,38,Female,Manager,Single,0,2,46,705,2,Master's Degree,1,2,83,3,5,4,18947,22822,3,12,3,4,80,0,22,2,2,2,2,1
0,Travel_Rarely,R&D,Medical,39,Male,Laboratory Technician,Single,0,3,33,924,2,Bachelor's Degree,1,3,78,3,1,4,2496,6670,4,11,3,4,80,0,7,3,1,1,0,0
0,Travel_Rarely,R&D,Other,40,Male,Healthcare Representative,Married,1,5,44,1459,10,Master's Degree,1,4,41,3,2,4,6465,19121,2,13,3,4,80,0,9,4,4,2,1,3
0,Travel_Rarely,R&D,Medical,41,Male,Laboratory Technician,Single,0,5,30,125,9,Associates Degree,1,4,83,2,1,3,2206,16117,1,13,3,1,80,0,10,3,10,0,1,8
1,Travel_Rarely,Sales,Technical Degree,42,Male,Sales Representative,Married,0,6,39,895,5,Bachelor's Degree,1,4,56,3,2,4,2086,3335,3,14,3,3,80,1,19,4,1,0,0,0
1,Travel_Rarely,R&D,Medical,45,Male,Research Scientist,Married,1,2,24,813,1,Bachelor's Degree,1,2,61,3,1,4,2293,3020,2,16,3,1,80,1,6,2,2,0,2,0
0,Travel_Rarely,R&D,Medical,46,Female,Research Scientist,Divorced,0,3,43,1273,2,Associates Degree,1,4,72,4,1,3,2645,21923,1,12,3,4,80,2,6,2,5,3,1,4
1,Travel_Rarely,Sales,Marketing,47,Male,Sales Representative,Married,1,2,50,869,3,Associates Degree,1,1,86,2,1,3,2683,3810,1,14,3,3,80,0,3,3,3,2,0,2
0,Travel_Rarely,Sales,Marketing,49,Female,Sales Representative,Married,0,3,35,890,2,Bachelor's Degree,1,4,97,3,1,4,2014,9687,1,13,3,1,80,0,2,3,2,2,2,2
0,Travel_Rarely,R&D,Life Sciences,51,Female,Research Scientist,Married,1,3,36,852,5,Master's Degree,1,2,82,2,1,2,3419,13072,9,14,3,4,80,1,6,4,1,1,0,0
0,Travel_Frequently,Sales,Life Sciences,52,Female,Sales Executive,Married,0,3,33,1141,1,Bachelor's Degree,1,3,42,4,2,2,5376,3193,2,19,3,1,80,2,10,3,5,3,1,3
0,Travel_Rarely,R&D,Other,53,Male,Laboratory Technician,Divorced,0,3,35,464,4,Associates Degree,1,3,75,3,1,4,1951,10910,1,12,3,3,80,1,1,3,1,0,0,0
0,Travel_Rarely,R&D,Life Sciences,54,Female,Laboratory Technician,Divorced,0,6,27,1240,2,Master's Degree,1,4,33,3,1,2,2341,19715,1,13,3,4,80,1,1,3,1,0,0,0
1,Travel_Rarely,R&D,Life Sciences,55,Male,Laboratory Technician,Single,0,2,26,1357,25,Bachelor's Degree,1,1,48,1,1,2,2293,10558,1,12,3,3,80,0,1,2,1,0,0,1
0,Travel_Frequently,Sales,Life Sciences,56,Male,Sales Executive,Single,0,0,27,994,8,Bachelor's Degree,1,4,37,3,3,2,8726,2975,1,15,3,4,80,0,9,3,9,8,1,7
0,Travel_Frequently,R&D,Medical,57,Female,Laboratory Technician,Single,0,2,30,721,1,Associates Degree,1,3,58,3,2,4,4011,10781,1,23,4,4,80,0,12,3,12,8,3,7
1,Travel_Rarely,R&D,Technical Degree,58,Female,Research Director,Married,0,0,41,1360,12,Bachelor's Degree,1,2,49,3,5,3,19545,16280,1,12,3,4,80,0,23,3,22,15,15,8
0,0n-Travel,Sales,Marketing,60,Male,Sales Executive,Single,0,2,34,1065,23,Master's Degree,1,2,72,3,2,3,4568,10034,0,20,4,3,80,0,10,3,9,5,8,7
0,Travel_Rarely,R&D,Life Sciences,61,Male,Research Scientist,Married,0,1,37,408,19,Associates Degree,1,2,73,3,1,2,3022,10227,4,21,4,1,80,0,8,3,1,0,0,0
0,Travel_Frequently,Sales,Marketing,62,Male,Sales Executive,Single,1,4,46,1211,5,Master's Degree,1,1,98,3,2,4,5772,20445,4,21,4,3,80,0,14,3,9,6,0,8
0,Travel_Rarely,R&D,Life Sciences,63,Male,Laboratory Technician,Married,0,2,35,1229,8,High School,1,4,36,4,1,2,2269,4892,1,19,3,4,80,0,1,3,1,0,0,1
1,Travel_Rarely,R&D,Life Sciences,64,Male,Laboratory Technician,Single,1,2,48,626,1,Associates Degree,1,1,98,2,3,2,5381,19294,9,13,3,4,80,0,23,3,1,0,0,0
